,Class,Sex,Age,Fare,Survived
795,2,1,39.0,13.0,0
796,1,0,49.0,25.9292,1
797,3,0,31.0,8.6833,1
798,3,1,30.0,7.2292,0
799,3,0,30.0,24.15,0
800,2,1,34.0,13.0,0
801,2,0,31.0,26.25,1
802,1,1,11.0,120.0,1
803,3,1,0.42,8.5167,1
804,3,1,27.0,6.975,1
805,3,1,31.0,7.775,0
806,1,1,39.0,0.0,0
807,3,0,18.0,7.775,0
808,2,1,39.0,13.0,0
809,1,0,33.0,53.1,1
810,3,1,26.0,7.8875,0
811,3,1,39.0,24.15,0
812,2,1,35.0,10.5,0
813,3,0,6.0,31.275,0
814,3,1,30.5,8.05,0
816,3,0,23.0,7.925,0
817,2,1,31.0,37.0042,0
818,3,1,43.0,6.45,0
819,3,1,10.0,27.9,0
820,1,0,52.0,93.5,1
821,3,1,27.0,8.6625,1
822,1,1,38.0,0.0,0
823,3,0,27.0,12.475,1
824,3,1,2.0,39.6875,0
827,2,1,1.0,37.0042,1
829,1,0,62.0,80.0,1
830,3,0,15.0,14.4542,1
831,2,1,0.83,18.75,1
833,3,1,23.0,7.8542,0
834,3,1,18.0,8.3,0
835,1,0,39.0,83.1583,1
836,3,1,21.0,8.6625,0
838,3,1,32.0,56.4958,1
840,3,1,20.0,7.925,0
841,2,1,16.0,10.5,0
842,1,0,30.0,31.0,1
843,3,1,34.5,6.4375,0
844,3,1,17.0,8.6625,0
845,3,1,42.0,7.55,0
847,3,1,35.0,7.8958,0
848,2,1,28.0,33.0,0
850,3,1,4.0,31.275,0
851,3,1,74.0,7.775,0
852,3,0,9.0,15.2458,0
853,1,0,16.0,39.4,1
854,2,0,44.0,26.0,0
855,3,0,18.0,9.35,1
856,1,0,45.0,164.8667,1
857,1,1,51.0,26.55,1
858,3,0,24.0,19.2583,1
860,3,1,41.0,14.1083,0
861,2,1,21.0,11.5,0
862,1,0,48.0,25.9292,1
864,2,1,24.0,13.0,0
865,2,0,42.0,13.0,1
866,2,0,27.0,13.8583,1
867,1,1,31.0,50.4958,0
869,3,1,4.0,11.1333,1
870,3,1,26.0,7.8958,0
871,1,0,47.0,52.5542,1
872,1,1,33.0,5.0,0
873,3,1,47.0,9.0,0
874,2,0,28.0,24.0,1
